# time nrequests latency average
11:45:39 468 0.350639655983 0.275225026219
11:45:40 456 0.381568811404 0.24605006045
11:45:41 406 0.153335243842 0.269912398263
11:45:42 468 0.149800606838 0.270728310026
11:45:43 440 0.489750675 0.270218990127
11:45:44 489 0.143425171779 0.304684769984
11:45:45 494 0.334928119433 0.276061922653
11:45:46 374 0.458439446524 0.295020119703
11:45:47 431 0.14638812065 0.301001730041
11:45:48 447 0.451802442953 0.300359803427
11:45:49 463 0.356919926566 0.306007829441
11:45:50 457 0.383532295405 0.306635856499
11:45:51 390 0.14894324359 0.306832204899
11:45:52 417 0.152447038369 0.306393004874
11:45:53 452 0.146672699115 0.306657648027
11:45:54 516 0.147369447674 0.272349850438
11:45:55 376 0.753113869681 0.272744278028
11:45:56 388 0.1480205 0.314562853053
